Team,Tot. Respondents,Democrat,Republican,Independent,Success,Playoff Appearances,Division,MVPs,HoF,SB Loss,SB Win,Rep%,Dem%,Ind%
Arizona Cardinals,148,39,38,71,39,10,7,0,14,1,0,.26,.26,.48
Atlanta Falcons,188,59,54,75,33,14,6,1,4,2,0,.29,.31,.40
Baltimore Ravens,150,56,29,65,42,12,6,1,3,0,2,.19,.37,.43
Buffalo Bills,92,22,24,46,63,19,10,2,10,4,0,.26,.24,.50
Carolina Panthers,164,51,49,64,24,8,6,1,0,2,0,.3,.31,.39
Chicago Bears,285,94,62,129,124,26,19,1,30,1,1,.22,.33,.45
Cincinnati Bengals,106,37,37,32,32,14,9,2,1,2,0,.35,.35,.30
Cleveland Browns,105,34,29,42,84,24,9,4,17,0,0,.28,.32,.40
Dallas Cowboys,438,128,140,170,138,33,23,1,19,3,5,.32,.29,.39
Denver Broncos,313,100,91,122,90,22,15,3,8,5,3,.29,.32,.39
Detroit Lions,133,50,24,59,56,17,4,1,16,0,0,.18,.38,.44
Green Bay Packers,526,171,125,230,178,33,19,8,25,1,4,.24,.33,.44
Houston Texans,160,41,49,70,12,6,6,0,0,0,0,.31,.26,.44
Indianapolis Colts,122,37,31,54,113,28,16,9,16,2,2,.25,.30,.44
Jacksonville Jaguars,41,11,12,18,14,7,3,0,0,0,0,.29,.27,.44
Kansas City Chiefs,130,37,36,57,83,22,12,1,13,1,2,.28,.28,.44
Los Angeles Rams,97,31,27,39,104,29,17,4,4,3,1,.28,.32,.40
Miami Dolphins,156,51,39,66,76,23,13,1,11,3,2,.25,.33,.42
Minnesota Vikings,153,51,39,63,92,30,20,3,15,4,0,.25,.33,.41
New England Patriots,375,108,96,171,136,27,22,3,5,5,6,.26,.29,.46
New Orleans Saints,279,94,60,125,35,13,8,0,4,0,1,.22,.34,.45
New York Giants,239,95,50,94,137,32,16,2,21,1,4,.21,.40,.39
New York Jets,152,57,35,60,45,14,4,0,6,0,1,.23,.38,.39
Oakland Raiders,199,67,46,86,90,22,15,3,17,2,3,.23,.34,.43
Philadelphia Eagles,187,70,44,73,83,27,14,1,11,2,1,.24,.37,.39
Pittsburgh Steelers,339,97,96,146,142,31,23,1,24,2,6,.28,.29,.43
Los Angeles Chargers,153,53,36,64,57,19,15,1,9,1,0,.24,.35,.42
San Francisco 49ers,255,103,47,105,123,26,20,5,16,2,5,.18,.40,.41
Seattle Seahawks,345,125,74,146,49,18,10,1,4,2,1,.21,.36,.42
Tampa Bay Buccaneers,105,26,36,43,34,10,6,0,4,0,1,.34,.25,.41
Tennessee Titans,90,26,27,37,62,23,9,2,9,1,0,.30,.29,.41
Washington Redskins,139,45,35,59,104,24,14,3,20,2,3,.25,.32,.42
